,path,label
0,train_landmark_files/26734/1000035562.parquet,25
1,train_landmark_files/28656/1000106739.parquet,232
2,train_landmark_files/16069/100015657.parquet,48
3,train_landmark_files/25571/1000210073.parquet,23
4,train_landmark_files/62590/1000240708.parquet,164
5,train_landmark_files/26734/1000241583.parquet,67
6,train_landmark_files/26734/1000255522.parquet,143
7,train_landmark_files/32319/1000278229.parquet,134
8,train_landmark_files/37055/100035691.parquet,86
9,train_landmark_files/29302/100039661.parquet,220
10,train_landmark_files/49445/1000397667.parquet,231
11,train_landmark_files/36257/1000536928.parquet,8
12,train_landmark_files/22343/1000638205.parquet,180
13,train_landmark_files/26734/1000661926.parquet,144
14,train_landmark_files/27610/1000697904.parquet,216
15,train_landmark_files/28656/1000862366.parquet,65
16,train_landmark_files/61333/1000909322.parquet,195
17,train_landmark_files/27610/1000956928.parquet,165
18,train_landmark_files/26734/1001145816.parquet,243
19,train_landmark_files/28656/1001158776.parquet,220
20,train_landmark_files/22343/1001223069.parquet,156
21,train_landmark_files/32319/1001258102.parquet,249
22,train_landmark_files/26734/1001284511.parquet,45
23,train_landmark_files/53618/1001363076.parquet,47
24,train_landmark_files/34503/100137027.parquet,181
25,train_landmark_files/18796/1001373962.parquet,108
26,train_landmark_files/53618/1001379621.parquet,30
27,train_landmark_files/4718/1001385785.parquet,49
28,train_landmark_files/55372/1001471195.parquet,41
29,train_landmark_files/53618/1001490690.parquet,54
30,train_landmark_files/49445/1001499433.parquet,207
31,train_landmark_files/36257/1001560021.parquet,196
32,train_landmark_files/26734/1001589428.parquet,235
33,train_landmark_files/53618/1001611718.parquet,195
34,train_landmark_files/18796/1001682966.parquet,193
35,train_landmark_files/34503/1001685690.parquet,70
36,train_landmark_files/29302/1001705639.parquet,74
37,train_landmark_files/61333/1001819372.parquet,14
38,train_landmark_files/28656/1001832755.parquet,89
39,train_landmark_files/53618/1001896056.parquet,80
40,train_landmark_files/36257/1001899025.parquet,190
41,train_landmark_files/53618/100190623.parquet,52
42,train_landmark_files/36257/1001911914.parquet,121
43,train_landmark_files/28656/1001913464.parquet,165
44,train_landmark_files/28656/1001919956.parquet,162
45,train_landmark_files/26734/1001931356.parquet,48
46,train_landmark_files/2044/1001950812.parquet,142
47,train_landmark_files/32319/1001958254.parquet,97
48,train_landmark_files/26734/1002003043.parquet,207
49,train_landmark_files/49445/1002020383.parquet,62
50,train_landmark_files/61333/1002052130.parquet,0
51,train_landmark_files/62590/1002055891.parquet,65
52,train_landmark_files/2044/1002091184.parquet,67
53,train_landmark_files/2044/1002092995.parquet,25
54,train_landmark_files/16069/1002113535.parquet,6
55,train_landmark_files/55372/1002129762.parquet,93
56,train_landmark_files/62590/1002160015.parquet,233
57,train_landmark_files/62590/1002203166.parquet,19
58,train_landmark_files/26734/100225301.parquet,13
59,train_landmark_files/29302/1002284514.parquet,35
60,train_landmark_files/28656/1002298936.parquet,86
61,train_landmark_files/55372/100230619.parquet,191
62,train_landmark_files/28656/1002340281.parquet,34
63,train_landmark_files/26734/1002456370.parquet,81
64,train_landmark_files/37779/1002526690.parquet,19
65,train_landmark_files/28656/1002619089.parquet,159
66,train_landmark_files/18796/1002643353.parquet,12
67,train_landmark_files/26734/1002667538.parquet,198
68,train_landmark_files/62590/1002711645.parquet,136
69,train_landmark_files/55372/1002734054.parquet,215
70,train_landmark_files/22343/1002776784.parquet,24
71,train_landmark_files/37779/1002801453.parquet,246
72,train_landmark_files/62590/1002825266.parquet,161
73,train_landmark_files/62590/1002885072.parquet,4
74,train_landmark_files/53618/100293231.parquet,235
75,train_landmark_files/18796/1002976391.parquet,47
76,train_landmark_files/37055/1003007869.parquet,146
77,train_landmark_files/28656/1003023196.parquet,78
78,train_landmark_files/61333/1003093029.parquet,172
79,train_landmark_files/37055/1003109377.parquet,194
80,train_landmark_files/18796/1003114245.parquet,76
81,train_landmark_files/28656/1003256778.parquet,125
82,train_landmark_files/26734/100328364.parquet,192
83,train_landmark_files/36257/1003335907.parquet,157
84,train_landmark_files/22343/1003347075.parquet,0
85,train_landmark_files/28656/1003351443.parquet,233
86,train_landmark_files/53618/1003370644.parquet,140
87,train_landmark_files/2044/1003433922.parquet,206
88,train_landmark_files/55372/1003483016.parquet,127
89,train_landmark_files/34503/1003483410.parquet,199
90,train_landmark_files/62590/1003498206.parquet,210
91,train_landmark_files/28656/1003656851.parquet,83
92,train_landmark_files/49445/1003700302.parquet,243
93,train_landmark_files/37055/1003705747.parquet,30
94,train_landmark_files/25571/100387913.parquet,101
95,train_landmark_files/37055/100393298.parquet,228
96,train_landmark_files/30680/1004012212.parquet,84
97,train_landmark_files/22343/1004053083.parquet,192
98,train_landmark_files/49445/1004160575.parquet,51
99,train_landmark_files/18796/1004199462.parquet,203
100,train_landmark_files/32319/1004200659.parquet,66
101,train_landmark_files/16069/10042041.parquet,102
102,train_landmark_files/16069/1004211348.parquet,32
103,train_landmark_files/26734/1004212902.parquet,150
104,train_landmark_files/28656/1004220316.parquet,77
105,train_landmark_files/2044/1004220951.parquet,247
106,train_landmark_files/37779/1004278047.parquet,147
107,train_landmark_files/29302/1004285193.parquet,30
108,train_landmark_files/22343/1004302418.parquet,189
109,train_landmark_files/53618/1004317038.parquet,73
110,train_landmark_files/16069/100438640.parquet,169
111,train_landmark_files/27610/1004456612.parquet,144
112,train_landmark_files/26734/1004515043.parquet,97
113,train_landmark_files/30680/1004525587.parquet,92
114,train_landmark_files/27610/1004578262.parquet,161
115,train_landmark_files/27610/1004604376.parquet,152
116,train_landmark_files/26734/100465528.parquet,104
117,train_landmark_files/49445/1004659234.parquet,239
118,train_landmark_files/37779/1004670955.parquet,217
119,train_landmark_files/30680/1004717211.parquet,203
120,train_landmark_files/29302/100475774.parquet,136
121,train_landmark_files/2044/1004782423.parquet,136
122,train_landmark_files/55372/1004789884.parquet,31
123,train_landmark_files/2044/1004871290.parquet,138
124,train_landmark_files/2044/1004940627.parquet,17
125,train_landmark_files/28656/100496782.parquet,54
126,train_landmark_files/27610/100498908.parquet,63
127,train_landmark_files/16069/1005009451.parquet,205
128,train_landmark_files/26734/1005029875.parquet,32
129,train_landmark_files/49445/1005031823.parquet,85
130,train_landmark_files/55372/1005052722.parquet,223
131,train_landmark_files/34503/1005088445.parquet,11
132,train_landmark_files/30680/1005102931.parquet,214
133,train_landmark_files/32319/100515039.parquet,120
134,train_landmark_files/25571/1005153432.parquet,31
135,train_landmark_files/36257/1005189210.parquet,132
136,train_landmark_files/16069/1005223850.parquet,237
137,train_landmark_files/4718/1005394128.parquet,115
138,train_landmark_files/36257/1005422610.parquet,176
139,train_landmark_files/2044/1005467898.parquet,220
140,train_landmark_files/61333/1005476876.parquet,61
141,train_landmark_files/16069/1005492440.parquet,159
142,train_landmark_files/26734/1005584284.parquet,198
143,train_landmark_files/2044/1005687002.parquet,209
144,train_landmark_files/37055/1005734995.parquet,153
145,train_landmark_files/61333/1005826772.parquet,110
146,train_landmark_files/22343/100585188.parquet,61
147,train_landmark_files/32319/1005865446.parquet,162
148,train_landmark_files/36257/1005866711.parquet,87
149,train_landmark_files/62590/1005973605.parquet,189
150,train_landmark_files/25571/1005995721.parquet,121
151,train_landmark_files/16069/1006058791.parquet,8
152,train_landmark_files/18796/1006073467.parquet,198
153,train_landmark_files/18796/1006108133.parquet,147
154,train_landmark_files/18796/1006174925.parquet,205
155,train_landmark_files/37055/1006223282.parquet,178
156,train_landmark_files/26734/1006264561.parquet,164
157,train_landmark_files/30680/1006302094.parquet,85
158,train_landmark_files/55372/1006402771.parquet,158
159,train_landmark_files/49445/1006440534.parquet,73
160,train_landmark_files/16069/1006443357.parquet,5
161,train_landmark_files/49445/1006462059.parquet,45
162,train_landmark_files/53618/100646867.parquet,80
163,train_landmark_files/18796/1006488300.parquet,102
164,train_landmark_files/28656/1006548504.parquet,34
165,train_landmark_files/34503/1006554061.parquet,191
166,train_landmark_files/37779/1006573792.parquet,90
167,train_landmark_files/22343/1006584947.parquet,81
168,train_landmark_files/49445/1006585242.parquet,165
169,train_landmark_files/37055/1006625592.parquet,21
170,train_landmark_files/4718/1006690809.parquet,23
171,train_landmark_files/28656/1006698125.parquet,154
172,train_landmark_files/53618/1006736862.parquet,234
173,train_landmark_files/62590/1006742163.parquet,236
174,train_landmark_files/22343/1006778422.parquet,105
175,train_landmark_files/34503/1006899334.parquet,209
176,train_landmark_files/27610/1006973536.parquet,32
177,train_landmark_files/36257/1007054441.parquet,191
178,train_landmark_files/16069/1007073382.parquet,206
179,train_landmark_files/16069/1007127288.parquet,164
180,train_landmark_files/4718/1007273104.parquet,238
181,train_landmark_files/62590/100728423.parquet,33
182,train_landmark_files/61333/1007285542.parquet,117
183,train_landmark_files/55372/1007289801.parquet,79
184,train_landmark_files/61333/1007294943.parquet,195
185,train_landmark_files/32319/1007313467.parquet,81
186,train_landmark_files/16069/1007343357.parquet,27
187,train_landmark_files/32319/1007376023.parquet,3
188,train_landmark_files/29302/1007439131.parquet,219
189,train_landmark_files/61333/1007466376.parquet,67
190,train_landmark_files/36257/1007470312.parquet,168
191,train_landmark_files/16069/1007589714.parquet,200
192,train_landmark_files/32319/1007595679.parquet,146
193,train_landmark_files/37779/1007636570.parquet,223
194,train_landmark_files/27610/1007714989.parquet,180
195,train_landmark_files/29302/1007771619.parquet,99
196,train_landmark_files/18796/1007844942.parquet,44
197,train_landmark_files/61333/1007883975.parquet,4
198,train_landmark_files/62590/1007921043.parquet,156
199,train_landmark_files/29302/1007921584.parquet,109
200,train_landmark_files/30680/1007956977.parquet,61
201,train_landmark_files/37779/1007961507.parquet,52
202,train_landmark_files/37055/1008067715.parquet,178
203,train_landmark_files/28656/1008105275.parquet,158
204,train_landmark_files/29302/10081088.parquet,134
205,train_landmark_files/16069/1008185618.parquet,61
206,train_landmark_files/55372/1008254374.parquet,125
207,train_landmark_files/30680/100828468.parquet,182
208,train_landmark_files/49445/1008318688.parquet,75
209,train_landmark_files/18796/1008404042.parquet,32
210,train_landmark_files/55372/1008408081.parquet,7
211,train_landmark_files/4718/1008483043.parquet,77
212,train_landmark_files/34503/1008533792.parquet,248
213,train_landmark_files/2044/100856271.parquet,93
214,train_landmark_files/2044/1008623492.parquet,200
215,train_landmark_files/32319/1008630948.parquet,183
216,train_landmark_files/4718/1008708679.parquet,226
217,train_landmark_files/25571/1008787040.parquet,52
218,train_landmark_files/26734/1008843441.parquet,25
219,train_landmark_files/55372/100885486.parquet,84
220,train_landmark_files/61333/1008866094.parquet,60
221,train_landmark_files/28656/1008868907.parquet,70
222,train_landmark_files/30680/1008873903.parquet,17
223,train_landmark_files/55372/1008888999.parquet,133
224,train_landmark_files/4718/1008893190.parquet,65
225,train_landmark_files/2044/1009015092.parquet,150
226,train_landmark_files/61333/1009072101.parquet,178
227,train_landmark_files/37055/1009073883.parquet,153
228,train_landmark_files/28656/1009091529.parquet,199
229,train_landmark_files/28656/1009110105.parquet,246
230,train_landmark_files/27610/1009119274.parquet,92
231,train_landmark_files/25571/1009169722.parquet,120
232,train_landmark_files/22343/1009189193.parquet,64
233,train_landmark_files/28656/1009252695.parquet,14
234,train_landmark_files/61333/1009257874.parquet,141
235,train_landmark_files/61333/1009349839.parquet,87
